"","baseMean","lgFC_Treatment_6H_vs_Naive","lfcSE","stat","pvalue","padj"
"Pnp2",70.8004110662908,5.96554776548251,0.646599529350256,9.22603171622638,2.80844029124237e-20,1.02359069778882e-18
"6530402F18Rik",69.1986385125893,3.65798766455964,0.396557416127224,9.22435822858518,2.85264003706866e-20,1.03636778269786e-18
"Tapbpl",123.133467292908,2.6202207826928,0.284146928879136,9.22135879852262,2.93358785539848e-20,1.06237119300134e-18
"Sqstm1",3522.72680299872,2.42552758308675,0.263836760964119,9.19328896482555,3.81009787312682e-20,1.37539679592014e-18
"Plaat3",89.718123423819,3.89444839707224,0.423726727913591,9.19094345605316,3.8941075314356e-20,1.40126059901024e-18
"Mafb",217.165131141679,-3.84243872874817,0.418509124199837,-9.18125437789359,4.26098550010324e-20,1.52842628619209e-18
"Apobec3",247.396705691654,2.33827340222107,0.254714406551644,9.179980959369,4.31167662183358e-20,1.54173042613513e-18
"Trim30d",55.0512696892367,4.49193328044625,0.490148624310897,9.16443106774294,4.9809013858205e-20,1.77542506944262e-18
"Gcnt1",54.8331735247759,-3.30514113114163,0.361272323449352,-9.14861426301588,5.76685138763695e-20,2.04913042253495e-18
"Ikbke",308.501730919858,1.83712715644593,0.201182046175325,9.13166553065536,6.74534341033731e-20,2.38932711113042e-18
"Socs3",818.429008133988,6.20836096427193,0.681033439066707,9.1160882977786,7.78847992856005e-20,2.75023115234356e-18
"Gpd2",130.471328446986,2.63210709983371,0.28955883380756,9.09005974786804,9.89846467221224e-20,3.48444400805981e-18
"Exoc3l4",121.829106256409,2.44754327866494,0.269675640936082,9.07587822974732,1.12764394041189e-19,3.95722726457236e-18
"Tpra1",148.133752921676,-2.08421155049339,0.229985406987383,-9.06236433778482,1.27653000521092e-19,4.46588506452649e-18
"Tpcn1",72.9106792666707,-3.16120889493394,0.349323133078017,-9.04952634278568,1.43589829237937e-19,5.00797142896005e-18
"Iigp1",69.0921173113412,4.90998066689558,0.54322190893061,9.03862783546672,1.58650711254772e-19,5.51627549715596e-18
"Psme1",923.868510808505,1.63558443805307,0.181407768212551,9.01606614848322,1.94964708342706e-19,6.7581803335308e-18
"Fzd1",212.315091869488,3.98385608869785,0.442185395468367,9.00947007641018,2.07054550004373e-19,7.15537598871819e-18
"Cers6",509.930550282162,2.33277642673184,0.25912330173117,9.00257294942931,2.20488596908971e-19,7.59646883271486e-18
"Tra2a",162.627899630817,2.34323929579996,0.260637886422114,8.99040169472902,2.46328465880847e-19,8.46100957805879e-18
"Kremen1",121.470582240054,2.26077735809792,0.251736707907148,8.98072186965994,2.68996033770481e-19,9.21169197217039e-18
